getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19032, 1264542522.186041, 30193001, 0.420110, 0.001468, 192512, 29, 0, 1, 160
19033, 1264542522.188415, 40176001, 0.432598, 0.001566, 192512, 28, 0, 1, 181
19028, 1264542522.188438, 0, 0.001231, 0.004676, 360448, 0, 175, 163, 11
19030, 1264542522.207158, 10369001, 0.506956, 0.002802, 192512, 59, 0, 1, 288
19031, 1264542522.226351, 20260001, 0.476404, 0.002082, 192512, 32, 0, 1, 234
19033, 1264542522.229901, 40185001, 0.454062, 0.001584, 192512, 29, 0, 1, 183
19033, 1264542522.232297, 40186001, 0.456451, 0.001591, 192512, 30, 0, 1, 183
19032, 1264542522.242313, 30205001, 0.446346, 0.001496, 192512, 30, 0, 1, 163
19028, 1264542522.242337, 0, 0.001253, 0.004776, 360448, 0, 180, 168, 11
19033, 1264542522.254934, 40191001, 0.469073, 0.001603, 192512, 31, 0, 1, 184
19030, 1264542522.258597, 10377001, 0.517930, 0.002866, 192512, 60, 0, 1, 297
19030, 1264542522.262661, 10380001, 0.521970, 0.002876, 192512, 61, 0, 1, 298
19032, 1264542522.263382, 30210001, 0.457399, 0.001509, 192512, 31, 0, 1, 164
19032, 1264542522.265651, 30211001, 0.459660, 0.001516, 192512, 32, 0, 1, 164
19028, 1264542522.265671, 0, 0.001273, 0.004824, 360448, 0, 185, 173, 11
19030, 1264542522.266865, 10383001, 0.526115, 0.002897, 192512, 62, 0, 1, 301
19034, 1264542522.289670, 50193001, 0.519393, 0.002191, 192512, 25, 0, 1, 283
19030, 1264542522.302576, 10386001, 0.530350, 0.002924, 192512, 63, 0, 1, 304
19030, 1264542522.304048, 10387001, 0.531784, 0.002945, 192512, 64, 0, 1, 305
19030, 1264542522.320894, 10392001, 0.538593, 0.002963, 192512, 65, 0, 1, 307
19028, 1264542522.320921, 0, 0.001294, 0.004875, 360448, 0, 190, 178, 11
19030, 1264542522.325303, 10395001, 0.542965, 0.002979, 192512, 66, 0, 1, 308
19032, 1264542522.326402, 30223001, 0.485855, 0.001583, 192512, 33, 0, 1, 179
19034, 1264542522.339944, 50200001, 0.538114, 0.002234, 192512, 26, 0, 1, 287
19031, 1264542522.341135, 20278001, 0.509345, 0.002173, 192512, 33, 0, 1, 244
19033, 1264542522.358914, 40213001, 0.522064, 0.001702, 192512, 32, 0, 1, 202
19028, 1264542522.358940, 0, 0.001314, 0.004921, 360448, 0, 195, 183, 11
19030, 1264542522.360975, 10399001, 0.548538, 0.003008, 192512, 67, 0, 1, 311
19032, 1264542522.383037, 30235001, 0.512216, 0.001640, 192512, 34, 0, 1, 191
19030, 1264542522.387450, 10411001, 0.564938, 0.003049, 192512, 68, 0, 1, 315
19032, 1264542522.389590, 30238001, 0.518745, 0.001652, 192512, 35, 0, 1, 192
19031, 1264542522.404326, 20290001, 0.531647, 0.002220, 192512, 34, 0, 1, 249
