Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port  1205   bytes:        30977  pkts:        199  conns:       14  tput:        0 B/s
Port  1206   bytes:        33935  pkts:        225  conns:       17  tput:        0 B/s
Port  1207   bytes:         6798  pkts:         56  conns:        9  tput:        0 B/s
Port  1208   bytes:         6883  pkts:         54  conns:        7  tput:        0 B/s
Port  1209   bytes:        18724  pkts:        135  conns:       13  tput:        0 B/s
Port  1210   bytes:         5016  pkts:         68  conns:       10  tput:        0 B/s
Port  1211   bytes:        14114  pkts:        112  conns:       11  tput:        0 B/s
Port  1212   bytes:        62715  pkts:        215  conns:       12  tput:        0 B/s
Port  1213   bytes:        52551  pkts:        243  conns:       11  tput:        0 B/s
Port  1214   bytes:         3540  pkts:         47  conns:        9  tput:        0 B/s
Port  1215   bytes:        14590  pkts:        111  conns:       12  tput:        0 B/s
Port  1216   bytes:         4170  pkts:         50  conns:        9  tput:        0 B/s
Port  1217   bytes:        28571  pkts:        170  conns:       10  tput:        0 B/s
Port  1218   bytes:        11754  pkts:        103  conns:       12  tput:        0 B/s
Port  1219   bytes:         6008  pkts:         53  conns:        7  tput:        0 B/s
Port  1220   bytes:        23144  pkts:        157  conns:       12  tput:        0 B/s
Port  1221   bytes:         4394  pkts:         50  conns:       10  tput:        0 B/s
Port  1222   bytes:        12541  pkts:        101  conns:       11  tput:        0 B/s
Port  1223   bytes:        26663  pkts:        171  conns:       15  tput:        0 B/s
Port  1224   bytes:        14941  pkts:        135  conns:       15  tput:        0 B/s
Port  1225   bytes:        21152  pkts:        143  conns:       12  tput:        0 B/s
Port  1226   bytes:        27062  pkts:        160  conns:       11  tput:        0 B/s
Port  1227   bytes:        19598  pkts:        133  conns:       13  tput:        0 B/s
Port  1228   bytes:         7767  pkts:         84  conns:       11  tput:        0 B/s
Port  1229   bytes:        19250  pkts:        133  conns:       11  tput:        0 B/s
Port  1230   bytes:        16387  pkts:        138  conns:       12  tput:        0 B/s
Port  1231   bytes:         7612  pkts:         88  conns:       10  tput:        0 B/s
Port  1232   bytes:        11035  pkts:         92  conns:        9  tput:        0 B/s
Port  1233   bytes:        26604  pkts:        180  conns:       14  tput:        0 B/s
Port  1234   bytes:        12897  pkts:         93  conns:       11  tput:        0 B/s
Port  1235   bytes:        28352  pkts:        202  conns:       21  tput:        0 B/s
Port  1236   bytes:        14331  pkts:        109  conns:       11  tput:        0 B/s
Port  1237   bytes:        61627  pkts:        269  conns:       14  tput:        0 B/s
Port  1238   bytes:        20672  pkts:        169  conns:       18  tput:        0 B/s
Port  1239   bytes:        20094  pkts:        149  conns:       16  tput:        0 B/s
Port  1240   bytes:        14511  pkts:        120  conns:       13  tput:        0 B/s
Port  1241   bytes:        14141  pkts:        131  conns:       13  tput:        0 B/s
Port  1242   bytes:        30095  pkts:        219  conns:       18  tput:        0 B/s
Port  1243   bytes:        14214  pkts:        112  conns:       10  tput:        0 B/s
Port  1244   bytes:        18220  pkts:        120  conns:        9  tput:        0 B/s
Port  1245   bytes:        35156  pkts:        258  conns:       20  tput:        0 B/s
Port  1246   bytes:        41887  pkts:        173  conns:       13  tput:        0 B/s
Port  1247   bytes:        84188  pkts:        201  conns:       14  tput:        0 B/s
Port  1248   bytes:        11182  pkts:        113  conns:       13  tput:        0 B/s
Port  1249   bytes:        23337  pkts:        157  conns:       19  tput:        0 B/s
Port  1250   bytes:        22453  pkts:        152  conns:       15  tput:        0 B/s
Port  1251   bytes:        26067  pkts:        168  conns:       13  tput:        0 B/s
Port  1252   bytes:        27117  pkts:        222  conns:       23  tput:        0 B/s
Port  1253   bytes:        27549  pkts:        120  conns:        9  tput:        0 B/s
Port  1254   bytes:        42290  pkts:        214  conns:       17  tput:        0 B/s
Port  1255   bytes:        30985  pkts:        103  conns:       12  tput:        0 B/s
Port  1256   bytes:        88825  pkts:        166  conns:        9  tput:        0 B/s
Port  1257   bytes:        40856  pkts:        234  conns:       18  tput:        0 B/s
Port  1258   bytes:        34154  pkts:        210  conns:       16  tput:        0 B/s
Port  1259   bytes:        50936  pkts:        289  conns:       24  tput:        0 B/s
Port  1260   bytes:        35079  pkts:        236  conns:       22  tput:        0 B/s
Port  1261   bytes:        79982  pkts:       1227  conns:       19  tput:        0 B/s
Port  1262   bytes:        26911  pkts:        176  conns:       14  tput:        0 B/s
Port  1263   bytes:        19911  pkts:         99  conns:       11  tput:        0 B/s
Port  1264   bytes:        19564  pkts:        123  conns:       13  tput:        0 B/s
Port  1265   bytes:        24955  pkts:        142  conns:       13  tput:        0 B/s
Port  1266   bytes:        16117  pkts:        120  conns:       11  tput:        0 B/s
Port  1267   bytes:        70977  pkts:        263  conns:       16  tput:        0 B/s
Port  1268   bytes:        32393  pkts:        212  conns:       20  tput:        0 B/s
Port  1269   bytes:        21364  pkts:        158  conns:       19  tput:        0 B/s
Port  1270   bytes:        17952  pkts:        130  conns:       13  tput:        0 B/s
